action,price,amount,cost,fee,reason,cash_after,eth_after,proceeds
buy,378.65,0.596715721415325,225.94640791391282,0.22594640791391282,Volatility buy: -8.96% drop,2033.2917248173012,6.847290192826058,
sell,493.95,1.3654492012644297,,0.674463632964565,Rebalancing: sell ETH,2707.0808941489017,5.481840991561628,674.463632964565
buy,617.73,0.43823043953651303,270.7080894148902,0.2707080894148902,Volatility buy: -12.17% drop,2436.1020966445967,5.920071431098141,
sell,617.73,0.9879987376347628,,0.6103164601991221,Rebalancing: sell ETH,3045.8082403835197,4.932072693463379,610.316460199122
buy,677.8,0.44936681032509884,304.580824038352,0.30458082403835196,Volatility buy: -6.33% drop,2740.9228355211294,5.381439503788478,
buy,668.38,0.4100845081422439,274.092283552113,0.27409228355211296,Volatility buy: -5.43% drop,2466.5564596854642,5.791524011930722,
sell,668.38,1.0503817193252638,,0.7020541335626198,Rebalancing: sell ETH,3167.9085391145213,4.741142292605458,702.0541335626198
buy,640.84,0.49433689206580755,316.79085391145213,0.3167908539114521,Volatility buy: -8.02% drop,2850.8008943491577,5.235479184671266,
buy,577.01,0.49406438265353425,285.0800894349158,0.2850800894349158,Volatility buy: -9.96% drop,2565.435724824807,5.7295435673248,
buy,512.03,0.5010323076430693,256.5435724824807,0.2565435724824807,Volatility buy: -10.11% drop,2308.6356087698437,6.23057587496787,
sell,566.59,1.077980882320727,,0.6107731881141008,Rebalancing: sell ETH,2918.79802369583,5.152594992647143,610.7731881141008
buy,524.74,0.5562369980744427,291.87980236958305,0.29187980236958305,Volatility buy: -11.57% drop,2626.6263415238773,5.708831990721586,
buy,494.53,0.5311358949960321,262.66263415238774,0.2626626341523877,Volatility buy: -6.89% drop,2363.7010447373373,6.2399678857176175,
buy,487.51,0.4848518070885392,236.37010447373373,0.23637010447373374,Volatility buy: -6.22% drop,2127.09457015913,6.7248196928061565,
sell,487.51,1.1805767145046517,,0.5755429540881628,Rebalancing: sell ETH,2702.0619812932046,5.544242978301504,575.5429540881628
buy,462.16,0.5846594212595647,270.20619812932046,0.27020619812932045,Volatility buy: -12.10% drop,2431.5855769657546,6.128902399561069,
buy,429.58,0.5660378921192223,243.1585576965755,0.24315855769657552,Volatility buy: -6.37% drop,2188.1838607114823,6.694940291680291,
buy,432.69,0.5057163005180343,218.81838607114827,0.21881838607114829,Volatility buy: -8.23% drop,1969.146656254263,7.200656592198325,
sell,432.69,1.3246049437680087,,0.5731433131189797,Rebalancing: sell ETH,2541.716826060124,5.876051648430317,573.1433131189797
buy,431.99,0.5883739961712363,254.17168260601238,0.25417168260601236,Volatility buy: -5.38% drop,2287.2909717715056,6.464425644601553,
buy,377.94,0.6051994950975038,228.72909717715058,0.2287290971771506,Volatility buy: -6.67% drop,2058.333145497178,7.069625139699057,
buy,355.57,0.5788826800622038,205.83331454971778,0.2058333145497178,Volatility buy: -5.92% drop,1852.2939976329105,7.648507819761261,
sell,363.51,1.2764643062481165,,0.4640075399642528,Rebalancing: sell ETH,2315.8375300571993,6.372043513513145,464.0075399642528
buy,331.57,0.6984460385611483,231.58375300571993,0.23158375300571993,Volatility buy: -8.79% drop,2084.0221932984737,7.070489552074293,
buy,284.03,0.7337331244229391,208.40221932984738,0.2084022193298474,Volatility buy: -10.74% drop,1875.4115717492964,7.804222676497233,
buy,294.85,0.6360561545698817,187.54115717492965,0.18754115717492967,Volatility buy: -7.15% drop,1687.6828734171918,8.440278831067115,
buy,270.81,0.6231981364857989,168.7682873417192,0.1687682873417192,Volatility buy: -9.62% drop,1518.7458177881308,9.063476967552914,
sell,270.81,1.7273468695903624,,0.4677828057537661,Rebalancing: sell ETH,1986.060840736143,7.336130097962552,467.78280575376607
buy,228.27,0.870048994934132,198.6060840736143,0.19860608407361433,Volatility buy: -19.97% drop,1787.2561505784552,8.206179092896683,
buy,215.14,0.8307409828848449,178.72561505784552,0.1787256150578455,Volatility buy: -6.27% drop,1608.3518099055518,9.036920075781527,
buy,196.77,0.8173765360093265,160.8351809905552,0.1608351809905552,Volatility buy: -8.54% drop,1447.355793734006,9.854296611790854,
buy,185.15,0.7817206555409161,144.7355793734006,0.14473557937340062,Volatility buy: -6.08% drop,1302.4754787812321,10.63601726733177,
sell,185.15,1.8002656837317619,,0.3333191913429357,Rebalancing: sell ETH,1635.4613509328249,8.835751583600008,333.3191913429357
buy,196.04,0.8342488017408819,163.5461350932825,0.1635461350932825,Volatility buy: -10.94% drop,1471.7516697044491,9.67000038534089,
sell,247.69,1.8640452294009364,,0.46170536287031794,Rebalancing: sell ETH,1932.9953272118967,7.805955155939953,461.7053628703179
buy,227.92,0.8481025479167676,193.29953272118968,0.1932995327211897,Volatility buy: -6.80% drop,1739.5024949579858,8.65405770385672,
buy,189.83,0.9163475188105072,173.9502494957986,0.1739502494957986,Volatility buy: -15.73% drop,1565.3782952126915,9.570405222667228,
buy,182.72,0.856708786784529,156.53782952126915,0.15653782952126916,Volatility buy: -11.48% drop,1408.683927861901,10.427114009451756,
buy,148.22,0.9504007069639059,140.86839278619013,0.14086839278619012,Volatility buy: -16.51% drop,1267.674666682925,11.377514716415662,
buy,130.74,0.9696150119955063,126.7674666682925,0.1267674666682925,Volatility buy: -11.79% drop,1140.7804325479642,12.347129728411169,
buy,124.83,0.9138672054377668,114.07804325479643,0.11407804325479642,Volatility buy: -8.55% drop,1026.588311249913,13.260996933848935,
sell,124.83,2.5180960424545176,,0.31433392897959744,Rebalancing: sell ETH,1340.6079063005309,10.742900891394417,314.33392897959743
buy,112.75,1.1890092295348391,134.0607906300531,0.1340607906300531,Volatility buy: -8.61% drop,1206.4130548798478,11.931910120929256,
buy,108.87,1.1081225818681435,120.64130548798478,0.12064130548798478,Volatility buy: -6.75% drop,1085.651108086375,13.040032702797399,
buy,108.23,1.0030962839197772,108.5651108086375,0.1085651108086375,Volatility buy: -6.67% drop,976.9774321669288,14.043128986717177,
sell,108.23,2.50763121571959,,0.2714009264773313,Rebalancing: sell ETH,1248.1069577177827,11.535497770997587,271.40092647733127
buy,101.57,1.2288145689847227,124.81069577177828,0.1248106957717783,Volatility buy: -7.51% drop,1123.1714512502326,12.76431233998231,
buy,90.43,1.2420341161674584,112.31714512502327,0.11231714512502328,Volatility buy: -10.97% drop,1010.7419889800843,14.006346456149767,
sell,116.43,2.6626167178108444,,0.3100084644547167,Rebalancing: sell ETH,1320.4404449703463,11.343729738338922,310.00846445471666
buy,109.44,1.20654280424922,132.04404449703463,0.13204404449703463,Volatility buy: -6.00% drop,1188.2643564288146,12.550272542588143,
buy,130.99,0.9071412752338458,118.82643564288146,0.11882643564288146,Volatility buy: -7.01% drop,1069.3190943502902,13.457413817821989,
sell,130.99,2.6465711703586874,,0.34667435760528453,Rebalancing: sell ETH,1415.6467775979695,10.810842647463302,346.6743576052845
buy,116.72,1.212857074706965,141.56467775979695,0.14156467775979695,Volatility buy: -11.98% drop,1273.9405351604128,12.023699722170267,
buy,133.49,0.9543340588511594,127.39405351604128,0.12739405351604127,Volatility buy: -5.55% drop,1146.4190875908555,12.978033781021427,
sell,133.49,2.194513625680497,,0.29294562389208956,Rebalancing: sell ETH,1439.071765859053,10.78352015534093,292.94562389208954
buy,127.96,1.1246262627845054,143.9071765859053,0.1439071765859053,Volatility buy: -15.35% drop,1295.0206820965618,11.908146418125437,
buy,116.56,1.1110335295955405,129.5020682096562,0.12950206820965618,Volatility buy: -7.37% drop,1165.389111818696,13.019179947720977,
buy,121.22,0.9613835273211483,116.5389111818696,0.1165389111818696,Volatility buy: -6.57% drop,1048.7336617256444,13.980563475042125,
sell,121.22,2.664055864575896,,0.3229368519038901,Rebalancing: sell ETH,1371.3475767776306,11.316507610466228,322.9368519038901
buy,118.41,1.158134935206174,137.13475767776308,0.1371347576777631,Volatility buy: -5.16% drop,1234.0756843421898,12.474642545672403,
buy,106.36,1.1602817641427132,123.40756843421897,0.12340756843421898,Volatility buy: -5.26% drop,1110.5447083395366,13.634924309815116,
sell,125.58,2.3957998347151044,,0.3008645432435228,Rebalancing: sell ETH,1411.1083870398159,11.239124475100011,300.8645432435228
buy,133.42,1.0576438217956947,141.11083870398159,0.14111083870398158,Volatility buy: -16.34% drop,1269.8564374971302,12.296768296895706,
sell,164.93,2.2987011389979943,,0.3791247788549392,Rebalancing: sell ETH,1648.6020915732145,9.998067157897712,379.1247788549392
buy,165.24,0.9977015804727757,164.86020915732146,0.16486020915732147,Volatility buy: -6.85% drop,1483.5770222067356,10.995768738370487,
buy,152.99,0.9697215649432874,148.35770222067356,0.14835770222067357,Volatility buy: -7.87% drop,1335.0709622838413,11.965490303313773,
sell,168.24,2.0149878933240255,,0.3390015631728341,Rebalancing: sell ETH,1673.7335238935025,9.950502409989747,339.0015631728341
sell,264.47,1.810934791236219,,0.4789379242382429,Rebalancing: sell ETH,2152.192510207507,8.139567618753528,478.9379242382429
buy,244.84,0.8790199763958124,215.2192510207507,0.2152192510207507,Volatility buy: -7.42% drop,1936.7580399357355,9.01858759514934,
buy,254.45,0.7611546629733683,193.67580399357357,0.19367580399357356,Volatility buy: -5.62% drop,1742.8885601381683,9.779742258122708,
sell,267.42,1.631160935100228,,0.43620505726450304,Rebalancing: sell ETH,2178.6574123454066,8.14858132302248,436.205057264503
buy,249.61,0.8728245712693429,217.86574123454068,0.2178657412345407,Volatility buy: -7.31% drop,1960.5738053696314,9.021405894291822,
buy,231.43,0.8471562914789056,196.05738053696314,0.19605738053696314,Volatility buy: -5.31% drop,1764.3203674521312,9.868562185770728,
sell,269.22,1.6575550557184913,,0.44624697210053227,Rebalancing: sell ETH,2210.121092580563,8.211007130052236,446.2469721005323
buy,294.07,0.7515629246711882,221.0121092580563,0.2210121092580563,Volatility buy: -11.89% drop,1988.8879712132486,8.962570054723423,
buy,290.15,0.6854688854775974,198.88879712132487,0.19888879712132487,Volatility buy: -8.56% drop,1789.8002852948025,9.64803894020102,
sell,290.15,1.7394094854513222,,0.5046896622037012,Rebalancing: sell ETH,2293.9852578362998,7.908629454749699,504.6896622037011
buy,283.1,0.810309169140339,229.39852578363,0.22939852578363,Volatility buy: -6.31% drop,2064.357333526886,8.718938623890038,
buy,288.64,0.7152014043538271,206.43573335268863,0.20643573335268864,Volatility buy: -6.25% drop,1857.7151644408448,9.434140028243865,
buy,268.56,0.6917318902445803,185.77151644408448,0.1857715164440845,Volatility buy: -6.96% drop,1671.757876480316,10.125871918488446,
sell,268.56,1.950142453143612,,0.5237302572162484,Rebalancing: sell ETH,2194.964403439348,8.175729465344833,523.7302572162484
buy,226.16,0.9705360821716256,219.49644034393484,0.21949644034393484,Volatility buy: -15.91% drop,1975.2484666550695,9.146265547516458,
buy,198.71,0.9940357640053694,197.52484666550697,0.197524846665507,Volatility buy: -12.90% drop,1777.526095142897,10.140301311521828,
buy,186.49,0.9531482090958748,177.7526095142897,0.1777526095142897,Volatility buy: -10.61% drop,1599.5957330190931,11.093449520617703,
buy,173.01,0.924568367735445,159.95957330190933,0.15995957330190932,Volatility buy: -7.57% drop,1439.476200143882,12.018017888353148,
sell,181.67,2.0472205362284197,,0.37191855481661695,Rebalancing: sell ETH,1811.0228364056823,9.970797352124729,371.91855481661696
buy,166.47,1.0878974207999534,181.10228364056826,0.18110228364056827,Volatility buy: -17.17% drop,1629.7394504814733,11.058694772924682,
buy,180.94,0.9007071131211858,162.97394504814736,0.16297394504814736,Volatility buy: -5.63% drop,1466.602531488278,11.959401886045868,
sell,186.96,2.057464819017056,,0.38466362256342884,Rebalancing: sell ETH,1850.8814904291432,9.901937067028811,384.6636225634288
buy,162.72,1.1374640427907714,185.08814904291432,0.18508814904291432,Volatility buy: -5.20% drop,1665.608253237186,11.039401109819583,
buy,161.18,1.0333839516299703,166.56082532371863,0.16656082532371863,Volatility buy: -7.73% drop,1498.8808670881438,12.072785061449553,
buy,150.22,0.9977904853469203,149.88808670881437,0.14988808670881437,Volatility buy: -6.80% drop,1348.8428922926205,13.070575546796473,
buy,140.42,0.9605774763513892,134.88428922926207,0.13488428922926207,Volatility buy: -7.87% drop,1213.8237187741292,14.031153023147862,
sell,140.42,2.692977867992681,,0.37814795222353226,Rebalancing: sell ETH,1591.593523045438,11.33817515515518,378.14795222353223
buy,132.68,1.1995730502302064,159.1593523045438,0.1591593523045438,Volatility buy: -7.05% drop,1432.2750113885895,12.537748205385387,
buy,122.11,1.1729383436152565,143.22750113885897,0.14322750113885896,Volatility buy: -7.97% drop,1288.9042827485916,13.710686549000645,
sell,144.28,2.3886663866829125,,0.3446367862706106,Rebalancing: sell ETH,1633.1964322329318,11.322020162317733,344.6367862706106
sell,223.14,2.0014321654267424,,0.4465995733933233,Rebalancing: sell ETH,2079.349406052862,9.32058799689099,446.5995733933233
buy,264.85,0.7851045520305312,207.93494060528622,0.20793494060528622,Volatility buy: -7.33% drop,1871.2065305069705,10.105692548921523,
sell,282.92,1.745892841499199,,0.4939480027169534,Rebalancing: sell ETH,2364.660585221207,8.359799707422324,493.9480027169534
buy,258.72,0.9139844562543317,236.4660585221207,0.23646605852212071,Volatility buy: -8.55% drop,2127.9580606405643,9.273784163676655,
buy,246.84,0.8620799143739121,212.79580606405645,0.21279580606405646,Volatility buy: -7.11% drop,1914.949458770444,10.135864078050567,
buy,223.73,0.8559198403300604,191.49494587704442,0.1914949458770444,Volatility buy: -9.36% drop,1723.2630179475225,10.991783918380627,
sell,245.76,1.98990437384786,,0.48903889891685004,Rebalancing: sell ETH,2211.8128779654558,9.001879544532766,489.03889891685003
buy,199.68,1.107678724942636,221.18128779654558,0.22118128779654558,Volatility buy: -16.02% drop,1990.4104088811137,10.109558269475402,
buy,109.78,1.8130901884506412,199.04104088811138,0.1990410408881114,Volatility buy: -43.66% drop,1791.1703269521142,11.922648457926043,
buy,122.58,1.4612255889640353,179.11703269521144,0.17911703269521143,Volatility buy: -9.49% drop,1611.8741772242076,13.383874046890078,
buy,111.32,1.4479645860799568,161.18741772242078,0.1611874177224208,Volatility buy: -9.88% drop,1450.5255720840644,14.831838632970035,
buy,122.44,1.1846827606044303,145.05255720840645,0.14505255720840646,Volatility buy: -7.75% drop,1305.3279623184494,16.016521393574465,
sell,122.44,2.677188274067296,,0.32779493227679973,Rebalancing: sell ETH,1632.7950996629725,13.339333119507168,327.7949322767997
buy,131.51,1.2415748609710082,163.27950996629727,0.16327950996629728,Volatility buy: -5.37% drop,1469.352310186709,14.580907980478177,
buy,124.55,1.1797288720888874,146.93523101867092,0.14693523101867093,Volatility buy: -5.17% drop,1322.2701439370194,15.760636852567064,
sell,132.31,2.883454455544286,,0.38150985901306445,Rebalancing: sell ETH,1703.3984930910708,12.877182397022779,381.50985901306444
buy,158.12,1.0772821231286813,170.3398493091071,0.17033984930910712,Volatility buy: -6.94% drop,1532.8883039326547,13.95446452015146,
sell,172.58,2.536137394121811,,0.4376865914775422,Rebalancing: sell ETH,1970.1372088187193,11.418327126029649,437.68659147754215
buy,170.6,1.1548283756264475,197.01372088187193,0.19701372088187194,Volatility buy: -5.40% drop,1772.9264742159655,12.573155501656096,
sell,215.55,2.1740134404221902,,0.4686085970830031,Rebalancing: sell ETH,2241.0664627018855,10.399142061233906,468.60859708300313
buy,187.84,1.1930720095303904,224.10664627018855,0.22410664627018856,Volatility buy: -10.59% drop,2016.7357097854267,11.592214070764296,
buy,198.56,1.0156807563383494,201.67357097854267,0.2016735709785427,Volatility buy: -5.38% drop,1814.8604652359054,12.607894827102646,
sell,220.3,2.1848814461525365,,0.4813293825874038,Rebalancing: sell ETH,2295.708518440722,10.42301338095011,481.3293825874038
buy,230.21,0.9972236299208209,229.5708518440722,0.2295708518440722,Volatility buy: -7.18% drop,2065.908095744806,11.420237010870931,
sell,275.65,1.9627793148952761,,0.5410401181508828,Rebalancing: sell ETH,2606.4071737775375,9.457457695975656,541.0401181508828
sell,424.97,1.6621510027545914,,0.7063643116406187,Rebalancing: sell ETH,3312.0651211065156,7.795306693221065,706.3643116406188
buy,387.98,0.8536690347715129,331.2065121106516,0.3312065121106516,Volatility buy: -6.74% drop,2980.527402483753,8.648975727992578,
buy,383.34,0.7775153655980991,298.0527402483753,0.2980527402483753,Volatility buy: -6.05% drop,2682.1766094951295,9.426491093590677,
sell,429.04,1.587457031161447,,0.6810825646495073,Rebalancing: sell ETH,3362.5780915799874,7.83903406242923,681.0825646495073
buy,439.83,0.7645176753700265,336.25780915799874,0.33625780915799874,Volatility buy: -7.56% drop,3025.9840246128306,8.603551737799256,
buy,382.46,0.7911896733286699,302.59840246128306,0.30259840246128306,Volatility buy: -13.04% drop,2723.0830237490864,9.394741411127926,
buy,335.24,0.8122786731145109,272.30830237490864,0.27230830237490866,Volatility buy: -13.13% drop,2450.502413071803,10.207020084242437,
sell,368.09,1.7748371454494762,,0.6532998048684976,Rebalancing: sell ETH,3103.148918135432,8.43218293879296,653.2998048684976
buy,366.33,0.8470911249789622,310.3148918135432,0.3103148918135432,Volatility buy: -5.56% drop,2792.523711430075,9.279274063771924,
buy,340.19,0.820871780895992,279.2523711430075,0.2792523711430075,Volatility buy: -8.32% drop,2512.9920879159245,10.100145844667916,
buy,320.19,0.7848440263330911,251.29920879159246,0.25129920879159245,Volatility buy: -6.99% drop,2261.4415799155404,10.884989871001007,
sell,320.19,1.910696817001593,,0.61178601383574,Rebalancing: sell ETH,2872.615807737445,8.974293053999414,611.78601383574
sell,482.71,1.5116376213032796,,0.7296825961793061,Rebalancing: sell ETH,3601.5687213205715,7.462655432696135,729.6825961793061
buy,569.4,0.6325199721321693,360.1568721320572,0.36015687213205716,Volatility buy: -5.88% drop,3241.0516923163823,8.095175404828304,
buy,520.22,0.6230155880812699,324.10516923163823,0.32410516923163823,Volatility buy: -8.64% drop,2916.6224179155124,8.718190992909573,
sell,520.22,1.555525350089073,,0.8092153976233376,Rebalancing: sell ETH,3725.028600141227,7.1626656428205004,809.2153976233376
buy,567.67,0.6561961351033571,372.5028600141227,0.3725028600141227,Volatility buy: -7.93% drop,3352.15323726709,7.818861777923858,
buy,554.82,0.604187526993816,335.215323726709,0.33521532372670904,Volatility buy: -6.18% drop,3016.602698216654,8.423049304917674,
sell,554.82,1.4926807809866658,,0.8281691509070219,Rebalancing: sell ETH,3843.943679972769,6.930368523931008,828.169150907022
buy,585.25,0.6568037043951763,384.39436799727696,0.38439436799727694,Volatility buy: -8.16% drop,3459.1649176074948,7.587172228326184,
sell,683.98,1.2648828497346776,,0.8651545715615248,Rebalancing: sell ETH,4323.454334597458,6.322289378591507,865.1545715615248
